form,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
ptddddddddrrr,0.006139209437435576,0.0,0.0,0.0,0.00519409208651462,0.0,0.0,0.0,0.0,0.0,0.006740664578260388,0.003283764686702257,0.018292475131254798,0.017811464355644388,0.025626837730092087,0.028301219618592412,0.0232949534550108,0.03273109808610592,0.02664811043252656,0.03545512215068236,0.03136272551894004,0.03537142928999784,0.04039522620323664,0.035952019327827996,0.02963672014977632,0.02962799550370645,0.02704337194653234,0.03532763446457379,0.04546851892292337,0.03687159472963392,0.024582037700301915,0.026310986138684038,0.01817010848141212,0.028626594547591783,0.021408611432264326,0.01622141609863199,0.01594039168680227,0.018571768910937963,0.020625398120011844,0.008289903155791754,0.0199564999231942,0.01342024987770654,0.007042746515277274,0.005199547370094097,0.014489785285476599,0.00852197202103442,0.010151725655492595,0.013182146079491731,0.012551085543053089,0.016981279271776797,0.01376188545547664,0.015643467289377485,0.016128872228801043,0.010620177995754456,0.007945042775305985,0.003534391107852564,0.0055735792792370184,0.00928086397550499,0.009587421010965323,0.011103797260726278
ptaaaain,0.0071755548045009275,0.0,0.0060091614342506865,0.0058714114645044045,0.006070894437831489,0.0,0.010924507130850457,0.0,0.013867330693055497,0.022021197821195933,0.0275748905580493,0.01151426761766871,0.014253589614096139,0.02775756714493796,0.029952843354231568,0.029770813168906812,0.030630734135919862,0.04868990894890376,0.031146514676466244,0.03848020162050566,0.0733139854806986,0.04685471577948295,0.04983726221768007,0.023636809315952356,0.014845553358591555,0.017314713535262385,0.03890276842839347,0.03417203466215584,0.02101039948300655,0.02298442724333155,0.026233266754779813,0.01968158798791047,0.013741822048519186,0.02141374847802817,0.016264656389539955,0.017774732654182373,0.005323214673043779,0.011424644800299562,0.01972400939992789,0.013841860032071489,0.008481930649761583,0.01568569039205232,0.006173711873196334,0.008103027486503987,0.005645257177435478,0.001992109176353465,0.0019775690595452626,0.007703696428529164,0.004889934829989899,0.0037214716316573172,0.007423844612521585,0.007836087366759031,0.00807923522159312,0.006896080569285353,0.007959622782886623,0.0041310232780607855,0.003908665177459898,0.00542377229250971,0.007470567190460266,0.006489101454705403
feeu,0.014995263596257496,0.0,0.0,0.0,0.0,0.00634112392948817,0.005707428503770273,0.0,0.009659846742833253,0.0,0.008232170867849716,0.004010363025320635,0.026063391175956054,0.01812717132461644,0.045207190859079545,0.04147611375059762,0.04623031703067433,0.03633955039310371,0.03905344272908511,0.04330027407478955,0.029463348601020213,0.04895780416870075,0.0328889830262904,0.04390711964891998,0.028438484444810848,0.031014668228710515,0.030486698403551053,0.04463232124034297,0.02582759735650837,0.01951307341674734,0.014358014542364673,0.012853126339727832,0.01566395779138822,0.020976479242755804,0.00915099258502927,0.014858045615387559,0.013905372019402507,0.010743699159678974,0.016029477064037536,0.015909471814258867,0.00664698354501646,0.014048354957101019,0.01505191528732571,0.008466734377920912,0.007864861719236983,0.01248915367207816,0.012397997145426335,0.012074218833108418,0.011496197396541792,0.00907319241558495,0.009049910532680169,0.009552447996530367,0.008441874189851086,0.012970103895985782,0.006930744091574988,0.0028776303558641983,0.0027227378807819017,0.004250414990276018,0.005203923937432546,0.0040682200666266105
jmenbrouille,0.00716705098625052,0.0,0.006002039919877725,0.0,0.0,0.006061535126880679,0.0,0.0,0.01846786185006603,0.004399020058039881,0.007869203226561535,0.01150062194959496,0.024914220711570515,0.024259087464581684,0.023269046853632652,0.03634342738283869,0.02719505187692941,0.0486322060746855,0.03110960264566743,0.047304121067758484,0.014082134688308328,0.04679918781014554,0.052398104846515484,0.04459439453810063,0.034598572754900254,0.042000184708644986,0.03885666438749823,0.015643621151970263,0.029626588035861184,0.021522363918735864,0.014972672834757849,0.02580147038540006,0.021212192748775276,0.014704504953205442,0.014995736298967822,0.020120823336039147,0.013292265201755079,0.0159755474831108,0.014228235875229662,0.015208001503296925,0.004235939316535564,0.01119078652226529,0.016443720929421406,0.006070068383667235,0.013156656168736753,0.009948741544101298,0.011851352541856723,0.005129711136411069,0.0036631047912835304,0.004956081706972249,0.0074150465436580385,0.005217867163390877,0.008069660443084896,0.013775815917218735,0.006625158131847688,0.005501503417441301,0.009109410289420259,0.013543361320941652,0.0024872379167417314,0.006481411158849164
jnoune,0.004392667800780896,0.004073984136783891,0.0036786354032680604,0.0035943088427234336,0.003716426568475912,0.007430199736609045,0.006687668343496921,0.0,0.01131890679355903,0.008088445499136985,0.019292060680149724,0.030544378420549138,0.03926536502355224,0.031860717066722805,0.024448356329917393,0.020249815128207872,0.018751252442352942,0.0361936783837555,0.030507197473297804,0.03986479565356422,0.04142834628988386,0.05061724643640906,0.04656626961535558,0.04662482502051533,0.03938141918392237,0.0333129295496517,0.028280494635581504,0.02266239575062831,0.03253319520328195,0.02286440614846203,0.01300034497735686,0.02033184510476394,0.017589453489439154,0.02048262425263382,0.012254466189017238,0.016684474369530532,0.011405514994728763,0.014687060235137168,0.024148939936746532,0.008473587690760504,0.01168288522695985,0.006858805346309461,0.010078315835936973,0.004960439840342665,0.003455863707555195,0.006097559055028804,0.007263664623872283,0.006287974504283079,0.004490215710318359,0.009112710614458263,0.003029775775848402,0.009594053588295999,0.007418812352439838,0.007598847114751481,0.0064968688196424245,0.0050577867307017394,0.00797590715368422,0.006640554091547224,0.003048843919406397,0.005561417187906825
billay,0.002358996252835695,0.002187853429543836,0.0009877695657198786,0.0028953798042768417,0.0019958341369258918,0.0019951216585699398,0.002693611026033979,0.0016667040083597473,0.0022794739942082138,0.0065156119774199195,0.012950529415703124,0.026497574658657767,0.02928707727590926,0.027946618194255694,0.0284472742084743,0.02990560872797153,0.03972052816200688,0.04001757212184438,0.03788636553217182,0.02822043798192179,0.03939800005826993,0.04666415228376298,0.040960566125606085,0.03712671831814944,0.03619736158795174,0.02968123041836667,0.025179253160612904,0.020127962624441727,0.032911082918980074,0.025974557516635452,0.0238195108935892,0.01678262982356971,0.018892143341056083,0.01583970104598059,0.017892151324923545,0.014219242076835501,0.011593955482722669,0.016713772354371693,0.016751257469775287,0.009328677505365101,0.0073197422788135996,0.008840129148667481,0.009471633901697751,0.007991721336431362,0.006804981161624786,0.007858979343550747,0.006176280750237777,0.008231031938962515,0.00683225026957016,0.008156338079584024,0.008338794073399271,0.01051927644966036,0.01018166030488017,0.011108877356600494,0.008504477033311943,0.007695858502934882,0.007709948645169802,0.011812969863157174,0.014121901763935159,0.009813279334033708
mddrrrrrrrrrrrrr,0.013833064366582708,0.0,0.0,0.011318931417015362,0.0,0.0,0.010530155119117425,0.0,0.01782233181926682,0.008490511331577548,0.03797070613686753,0.0,0.006869532320447528,0.02006668247806524,0.025663651498889065,0.03188460962494167,0.032805586965599244,0.033523074563753565,0.0180133141221644,0.045650641581193536,0.043487694101457225,0.015940008663752437,0.015169970712207706,0.025315077339084977,0.028619319448040675,0.019073929540571136,0.03281115189513561,0.03019362060306058,0.052416857604493605,0.024924079316308398,0.04093972433508129,0.02134251399385663,0.02649154164247409,0.030961134967630418,0.0144715717696076,0.02741296277186813,0.012827644205846474,0.015417134400831334,0.019012013637268958,0.016010637169694725,0.00817575057453716,0.0,0.003967235800317122,0.007810525028300902,0.007255300161821132,0.0,0.015249463399202445,0.007425608991907705,0.018853673365916025,0.007174268474242073,0.011926432075108597,0.010070961189746637,0.01038345548629977,0.026588585549434572,0.007672296936560497,0.005309202559911867,0.0075351409696303995,0.0026139926903252526,0.007200895235006524,0.007505830047977895
jmambiance,0.012031730613541413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077507589667761756,0.022154645363946537,0.0,0.0,0.005974985739263135,0.005817870176493093,0.005580436359068309,0.011093045577145631,0.011413464855775943,0.0,0.036557804803055094,0.03474278593478036,0.028368563531925794,0.04159292947767089,0.043981819257518005,0.03522969984763612,0.033190037320875235,0.004147533328338639,0.02038464457644684,0.021486947356692314,0.014506279549914408,0.019269759930259603,0.01675697730797,0.022688482657952952,0.027231251506128228,0.024685277493053,0.020978486577791586,0.031791016523852245,0.020083024246970223,0.02490340162384278,0.029397831224303537,0.018567654837422776,0.017777772493051423,0.01878660121824889,0.013802498467403506,0.006793442913332915,0.009465778668495437,0.006680604250312266,0.009947765228912322,0.019375951271062165,0.03279711754430893,0.012480078649793403,0.012448054670089434,0.0262785791007772,0.015804823710186367,0.013875741061339075,0.013346429609739358,0.009235682460626699,0.02403103710236301,0.02728320063491127,0.03131599382029611,0.026113700558339597
jface,0.011250976024685576,0.020869457890604192,0.009422118995288194,0.009206132684927296,0.0,0.009515515728318014,0.008564589858167337,0.0,0.014495604349746663,0.01381133448054632,0.006176614133572697,0.018053900003236662,0.027936305864689294,0.016321023127825133,0.020873258452943706,0.020746406953084873,0.0320184909990591,0.05998440085507736,0.024418229629967408,0.027847098462631087,0.04863409959391997,0.0432154559916606,0.08225556403855337,0.04529744859461159,0.03879536599407731,0.0349055506508624,0.04193608887112837,0.013395087668255232,0.021316347288247443,0.013514490180622302,0.021545693590681415,0.01735870714456287,0.019587831009806343,0.018886432788134164,0.017655448862007386,0.014864028135224564,0.010433228212385518,0.008956687548264024,0.012026948441289455,0.002170346957146841,0.006649659920627604,0.0035135028647326617,0.003226709114537926,0.015881519001297178,0.005901021350680843,0.018741273553635272,0.003100747284676512,0.0040263601528748895,0.0076672175230243795,0.00972519181328914,0.005820142136889503,0.002047777337845384,0.002111318317363699,0.006487663122633699,0.006240181249791673,0.0021590917648033827,0.00408575126693016,0.006378189598813702,0.0039045144540809265,0.00406985811565943
aeq,0.002596688996628233,0.0,0.0,0.004249491491582537,0.004393869245210231,0.006588451064535122,0.00593003918856677,0.001834641303029389,0.006691077508631599,0.00637522294878217,0.009978798412967387,0.020833909601163336,0.012895218670116533,0.02385665031662689,0.02288303361776489,0.023941019221997883,0.0369488225214731,0.02642984847704244,0.03268676235175088,0.03641978314068274,0.03877586812327183,0.03989595171533654,0.03132412636999094,0.04371883955030654,0.04208307341042212,0.0420706847277532,0.037834973384893895,0.03967480250029147,0.04517219707997641,0.0441872608645284,0.03300049032082385,0.030270076463249418,0.028933172810239736,0.021310313704258753,0.021732376967079234,0.021869882323996264,0.013966141538834636,0.01777770166653543,0.019430466502099696,0.011019999785149117,0.005371520255900294,0.007298146212035181,0.0037235703083256795,0.00513156474335197,0.003404841761408305,0.0021627127598862887,0.002862569909589468,0.004646354717356523,0.003981530446736082,0.007631445925693981,0.004925323490088118,0.006144065305782461,0.003410998229606321,0.0069875480937166895,0.005280783625059751,0.003986491352269863,0.0037719128845424424,0.001472065597980957,0.005406896093908178,0.002817930399171648
